Date,Open,High,Low,Close,Adj Close,Volume
2020-05-20,605.000000,612.000000,588.599976,594.049988,591.963562,35741865
2020-05-21,590.500000,604.500000,585.400024,594.549988,592.461792,20292552
2020-05-22,597.000000,597.400024,587.000000,593.200012,591.116577,11416299
2020-05-26,572.000000,576.450012,557.549988,559.250000,557.285828,76496981
2020-05-27,561.000000,565.549988,553.849976,563.099976,561.122253,22525840
2020-05-28,564.650024,568.000000,556.000000,562.750000,560.773499,16268836
2020-05-29,558.000000,564.000000,543.799988,552.599976,550.659119,54188806
2020-06-01,559.000000,561.650024,550.150024,559.049988,557.086487,39287024
2020-06-02,563.000000,572.299988,556.099976,558.099976,556.139832,31972728
2020-06-03,568.000000,568.299988,549.250000,551.650024,549.712524,29234914
2020-06-04,552.299988,585.400024,549.549988,572.450012,570.439453,29454264
2020-06-05,584.000000,590.000000,567.450012,584.349976,582.297607,47873027
2020-06-08,588.000000,593.700012,579.200012,585.150024,583.094849,20429990
2020-06-09,580.000000,591.650024,565.700012,567.799988,565.805786,14938972
2020-06-10,571.000000,576.000000,563.049988,567.099976,565.108215,19130270
2020-06-11,570.000000,573.799988,546.700012,551.849976,549.911743,27290666
2020-06-12,540.000000,562.000000,540.000000,560.099976,558.132813,18870073
2020-06-15,556.000000,563.750000,549.000000,550.700012,548.765869,13583898
2020-06-16,558.000000,559.299988,537.000000,544.900024,542.986206,19072591
2020-06-17,546.849976,565.500000,541.000000,563.450012,561.471069,20531273
2020-06-18,564.250000,572.900024,558.200012,560.900024,558.930054,19329677
2020-06-19,561.900024,578.200012,561.000000,572.500000,570.489258,41152081
2020-06-22,575.799988,588.000000,570.400024,581.049988,579.009216,12715764
2020-06-23,581.049988,584.599976,574.349976,578.799988,576.767151,9761566
2020-06-24,581.000000,582.000000,555.000000,557.349976,555.392456,12387239
2020-06-25,553.900024,563.700012,550.000000,559.000000,557.036682,15588791
2020-06-26,560.000000,566.400024,557.150024,560.400024,558.431763,11108837
2020-06-29,558.900024,568.950012,551.200012,567.099976,565.108215,12920390
2020-06-30,572.000000,577.000000,557.400024,559.849976,557.883667,12939125
2020-07-01,575.000000,575.000000,558.299988,560.150024,558.182678,13638591
2020-07-02,564.799988,567.000000,557.599976,558.450012,556.488647,13541452
2020-07-03,561.799988,583.450012,560.599976,581.450012,579.407837,20618770
2020-07-06,587.599976,589.299988,575.049988,576.599976,574.574829,15817653
2020-07-07,579.000000,582.599976,566.049988,567.150024,565.158081,12524299
2020-07-08,572.000000,574.000000,559.000000,561.299988,559.328613,9404733
2020-07-09,564.000000,570.250000,560.299988,568.650024,566.652832,8452955
2020-07-10,569.099976,579.000000,565.650024,574.700012,572.681519,13282943
2020-07-13,574.500000,589.000000,570.000000,586.799988,584.739014,16353455
2020-07-14,584.500000,596.799988,578.549988,589.349976,587.280029,32328497
2020-07-15,588.950012,588.950012,559.650024,563.599976,561.620483,19693187
2020-07-16,565.900024,566.200012,553.299988,562.750000,560.773499,11316406
2020-07-17,563.099976,573.900024,561.750000,566.750000,564.759460,11964836
2020-07-20,571.000000,582.500000,567.599976,575.750000,573.727844,9609258
2020-07-21,580.000000,583.799988,566.349976,567.750000,565.755920,11784668
2020-07-22,568.000000,575.500000,562.799988,569.150024,567.151062,10831170
2020-07-23,570.000000,575.750000,564.000000,567.200012,565.207886,9539679
2020-07-24,565.000000,567.400024,555.400024,559.450012,557.485107,9776883
2020-07-27,558.200012,563.750000,544.150024,559.500000,557.534912,10694766
2020-07-28,558.500000,574.250000,555.299988,564.599976,562.617004,13948327
2020-07-29,565.250000,569.150024,560.250000,566.200012,564.211426,9795850
2020-07-30,576.000000,580.450012,543.049988,552.700012,550.758789,44491042
2020-07-31,550.900024,559.299988,546.299988,554.849976,552.901245,13660951
2020-08-03,554.500000,556.500000,546.400024,547.349976,545.427551,9219647
